block_date,total_eth_balance,number_of_addresses
2017-02-11,88787177.258917916,189652
2017-02-12,88818745.3732354,189949
2017-02-13,88850477.602990718,190175
2017-02-14,88881940.264742553,190187
2017-02-15,88913667.275488663,190398
2017-02-16,88945205.750946593,190562
2017-02-17,88976532.823843035,190442
2017-02-18,89007743.216638541,190760
2017-02-19,89039009.510621675,190949
2017-02-20,89070396.017944333,191566
2017-02-21,89101805.66187534,191809
2017-02-22,89132798.398793575,191723
2017-02-23,89164026.809555619,192227
2017-02-24,89195289.341188121,191938
2017-02-25,89226842.334949274,192477
2017-02-26,89258661.475913331,193047
2017-02-27,89289905.691728988,193972
2017-02-28,89321759.557967597,194706
2017-03-01,89352902.654027373,195749
2017-03-02,89384539.215113194,196774
2017-03-03,89415837.644792423,197721
2017-03-04,89447008.284865467,197302
2017-03-05,89478571.864943132,198069
2017-03-06,89509724.273725469,198954
2017-03-07,89540792.561602975,199661
2017-03-08,89572117.273958385,200168
2017-03-09,89602925.088003849,200614
2017-03-10,89633949.356803443,200529
2017-03-11,89665184.200374553,201500
2017-03-12,89696032.030698477,201842
2017-03-13,89727641.817881966,203823
2017-03-14,89758855.77318723,205263
2017-03-15,89790227.525206855,206947
2017-03-16,89821652.257549476,209322
2017-03-17,89853488.21147346,212411
2017-03-18,89884967.517266744,214170
2017-03-19,89915959.752319443,215350
2017-03-20,89947627.214771152,217051
2017-03-21,89978637.77502448,218547
2017-03-22,90010011.217369064,219760
2017-03-23,90040989.755084674,220980
2017-03-24,90071827.597264132,222029
2017-03-25,90102887.938710505,223473
2017-03-26,90134057.228398547,224764
2017-03-27,90165054.604495648,226036
2017-03-28,90195604.45445961,228030
2017-03-29,90226870.047176963,230027
2017-03-30,90257682.748901402,231968
2017-03-31,90288892.035299727,233511
2017-04-01,90319740.291274858,233714
2017-04-02,90350177.220127054,235509
2017-04-03,90381358.60547902,235448
2017-04-04,90412410.065253181,237097
2017-04-05,90443640.856501054,238355
2017-04-06,90474359.631843479,239831
2017-04-07,90505429.750364186,240206
2017-04-08,90536340.951883141,241355
2017-04-09,90566581.122323161,242014
2017-04-10,90596615.11778317,243038
2017-04-11,90627063.065062828,243460
2017-04-12,90657271.969257503,244146
2017-04-13,90687610.666012071,245452
2017-04-14,90718596.206241872,245525
2017-04-15,90748592.174325913,247215
2017-04-16,90779094.14051348,248446
2017-04-17,90809739.754962455,249632
2017-04-18,90840255.303655496,250740
2017-04-19,90869862.374713835,252551
2017-04-20,90900279.350435773,253516
2017-04-21,90930753.027516647,254168
2017-04-22,90960739.562885271,255413
2017-04-23,90991227.450556945,255528
2017-04-24,91021006.048769676,257620
2017-04-25,91051756.750229237,257571
2017-04-26,91081077.788157607,259909
2017-04-27,91110402.119216533,260659
2017-04-28,91140080.907248287,263177
2017-04-29,91169295.958091079,265211
2017-04-30,91198659.889780349,267367
2017-05-01,91228012.685609389,269384
2017-05-02,91257444.644113462,271990
2017-05-03,91286992.92343168,273697
2017-05-04,91316410.257320954,278099
2017-05-05,91346108.049195521,280777
2017-05-06,91375805.089405482,284191
2017-05-07,91405677.717126033,286269
2017-05-08,91435085.883298875,287434
2017-05-09,91464829.439683383,290330
2017-05-10,91494437.014138487,295671
2017-05-11,91524159.329386134,298429
2017-05-12,91554036.729482531,301946
2017-05-13,91583277.769547302,306191
2017-05-14,91611478.273646478,310585
2017-05-15,91639918.172390973,314062
2017-05-16,91668617.597306646,318004
2017-05-17,91696493.53959549,323213
2017-05-18,91724953.837320179,326688
2017-05-19,91753296.708521106,331050
2017-05-20,91781921.094065833,336250
2017-05-21,91810544.444978107,340827
2017-05-22,91839284.05259743,351233
2017-05-23,91867826.007203951,356904
2017-05-24,91896424.03735984,364178
2017-05-25,91925230.592670872,372186
2017-05-26,91954166.284909613,377553
2017-05-27,91982917.724194678,382779
2017-05-28,92011711.855583493,386908
2017-05-29,92041202.522350533,391218
2017-05-30,92070984.233846035,398211
2017-05-31,92099689.179678894,409387
2017-06-01,92127721.245642277,408960
2017-06-02,92154515.648733658,415090
2017-06-03,92182010.555760033,420449
2017-06-04,92209228.35260385,425418
2017-06-05,92236983.881416231,431877
2017-06-06,92264436.917398919,440752
2017-06-07,92292166.029459419,448890
2017-06-08,92319765.252646364,456259
2017-06-09,92347362.098198303,460522
2017-06-10,92375484.855290981,471304
2017-06-11,92403375.577729619,485510
2017-06-12,92431431.370947021,496784
2017-06-13,92459663.259546813,504083
2017-06-14,92487886.042155867,514354
2017-06-15,92516038.077191154,523128
2017-06-16,92544361.403293541,534361
2017-06-17,92572627.503483965,543695
2017-06-18,92601175.714571195,554621
2017-06-19,92629759.895926897,570561
2017-06-20,92656423.766091903,596798
2017-06-21,92682505.737377804,595672
2017-06-22,92708958.603135375,606401
2017-06-23,92734954.243618373,614528
2017-06-24,92761385.581764689,625836
2017-06-25,92787715.392339219,629248
2017-06-26,92814341.695868762,627613
2017-06-27,92840861.722231754,631145
2017-06-28,92867441.595537419,639846
2017-06-29,92894394.799817455,648174
2017-06-30,92921196.034928005,650487
2017-07-01,92947838.645673402,656081
2017-07-02,92974514.080144321,661258
2017-07-03,93001574.706120266,667720
2017-07-04,93028892.167882859,672836
2017-07-05,93055609.197919381,679033
2017-07-06,93082504.607627945,686649
2017-07-07,93109761.126006054,695232
2017-07-08,93136785.388999908,700317
2017-07-09,93163693.133212277,706766
2017-07-10,93188093.277342678,711353
2017-07-11,93211998.474857485,717758
2017-07-12,93235880.674544668,725051
2017-07-13,93259610.187597461,734955
2017-07-14,93283339.496959171,738150
2017-07-15,93307438.519158167,740108
2017-07-16,93331400.978128619,741906
2017-07-17,93354872.379431935,746178
2017-07-18,93378781.904545054,750031
2017-07-19,93403212.497555276,754337
2017-07-20,93427671.687312672,758254
2017-07-21,93451482.910265184,762723
2017-07-22,93475769.275883285,767748
2017-07-23,93500222.3500005,758389
